date,germany-1_close,germany-1_var,u.s.-1_close,u.s.-1_var,brazil-1_close,brazil-1_var,switzerland-1_close,switzerland-1_var,uk-1_close,uk-1_var,italy-1_close,italy-1_var,japan-1_close,japan-1_var,china-1_close,china-1_var,canada-1_close,canada-1_var,france-1_close,france-1_var,south-korea-1_close,south-korea-1_var,australia-1_close,australia-1_var,germany-10_close,germany-10_var,u.s.-10_close,u.s.-10_var,brazil-10_close,brazil-10_var,switzerland-10_close,switzerland-10_var,uk-10_close,uk-10_var,italy-10_close,italy-10_var,japan-10_close,japan-10_var,china-10_close,china-10_var,canada-10_close,canada-10_var,france-10_close,france-10_var,south-korea-10_close,south-korea-10_var,australia-10_close,australia-10_var
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,1.817,-0.60,,,,,,,,,,,,,,,,,,,,,,,2.639,-0.38
2017-12-30,,,,,,,-0.720,-4.00,,,,,,,,,,,,,,,1.828,0.61,,,,,,,,,,,,,,,,,,,,,,,2.649,-0.53
2017-12-29,-0.716,2.73,1.7370,-0.17,6.740,0.00,-0.750,-1.32,0.3550,6.29,-0.450,-4.26,-0.139,-2.11,3.803,-0.55,1.525,0.33,-0.633,0.00,1.850,0.00,1.817,-0.93,0.4270,0.95,2.405,-1.18,10.210,-0.58,-0.069,-1.43,1.1880,-0.83,1.998,2.57,0.050,-5.66,3.915,0.05,2.042,0.54,0.784,3.43,2.467,-0.12,2.663,-0.75
2017-12-28,-0.697,-6.19,1.7400,0.93,6.740,0.07,-0.760,-2.56,0.3340,0.00,-0.470,-4.08,-0.142,-3.40,3.824,0.29,1.520,0.00,-0.633,-2.91,1.850,-1.54,1.834,0.94,0.4230,11.32,2.434,0.90,10.270,-0.96,-0.070,-13.58,1.1980,2.13,1.948,2.04,0.053,-1.85,3.913,0.00,2.031,2.68,0.758,5.42,2.470,-0.96,2.683,-1.43
2017-12-27,-0.743,-4.62,1.7240,-0.29,6.735,0.00,-0.780,4.00,0.3340,-6.18,-0.490,4.26,-0.147,-3.29,3.813,-0.03,1.520,1.00,-0.652,0.31,1.879,0.00,1.817,0.50,0.3800,-9.95,2.412,-2.48,10.370,0.78,-0.081,39.66,1.1730,-5.63,1.909,-0.26,0.054,20.00,3.913,0.28,1.978,-2.37,0.719,-4.35,2.494,0.12,2.722,0.04
2017-12-26,-0.779,2.37,1.7290,0.28,6.735,-0.37,-0.750,1.35,0.3560,1.42,,,-0.152,2.01,3.814,0.13,,,,,1.879,0.00,1.808,0.28,0.4220,0.00,2.474,-0.73,10.290,-0.96,,,,,1.914,-0.10,0.045,9.76,3.902,-0.33,,,0.752,0.00,2.491,0.04,2.721,0.04
2017-12-25,-0.761,0.00,1.7242,0.01,,,-0.740,-2.63,,,-0.470,0.21,-0.149,-0.67,3.809,0.00,,,,,,,1.803,0.00,0.4220,0.00,2.492,0.29,,,,,1.2430,0.00,1.916,0.47,0.041,-6.82,3.915,-0.03,,,0.752,1.44,,,2.720,0.00
2017-12-24,,,,,,,,,,,,,-0.150,-1.32,,,,,,,,,1.803,-1.21,,,,,,,,,,,,,0.044,-15.38,,,,,,,,,2.720,-0.37
2017-12-23,,,,,,,,,,,,,,,,,,,,,1.879,0.05,1.825,1.61,,,,,,,,,,,,,,,,,,,,,2.490,-0.24,2.730,0.81
2017-12-22,-0.761,-1.42,1.7240,0.41,6.760,-0.22,-0.760,-3.80,0.3510,-2.50,-0.469,0.86,-0.152,-2.56,3.809,-0.47,1.505,0.33,-0.650,-0.15,1.878,1.46,1.796,1.24,0.4220,1.20,2.485,0.00,10.390,0.10,-0.058,-23.68,1.2430,-1.58,1.907,0.05,0.052,-13.33,3.916,-0.13,2.026,-0.10,0.741,-1.07,2.496,0.44,2.708,1.54
